Исходные данные,Референс,Результат работы классификатора
каталогизация 7J-71-I502-7850 ,каталогизация 7J-71-I502-7850 ,1
проточка 97-62-2SVI-1210 ,проточка 97-65-2SVI-1210 ,0
тара HZ-20-BY6N-8189 Экологический,тара HZ-20-BY6N-8189 ,1
катушка YN-57-1WKJ-1644 ,катушка 99-76-PX7G-2798 ,0
идеализация GL-92-OVUK-8510 Пневматический,идеализация GL-92-OVUK-8510 ,1
турбулентность LM-43-GCTK-2770 ,пилка LM-43-GCTK-2770 ,1
имитация H7-24-FPF3-4841 Термический,крюки H7-24-FPF3-4841 ,1
спарка UF-89-3F8X-9030 ,спарка DW-03-RPCI-2280 ,0
клещи FN-62-9W5W-7337 Проектировочный,клещи PR-99-MEYD-4703 Проектировочный,0
бита AT-30-QWNT-1469 ,бита TS-72-NPZI-9003 ,0
расчет GJ-89-HO4X-3860 Полупроводниковый,уровень GJ-89-HO4X-3860 ,1
нож 60-51-25UW-0685 ,нож W4-50-1C3B-3594 ,0
фильтр RG-11-EZ1T-4528 ,фильтр 0H-44-FPCT-4715 ,0
двигатель 4Y-00-IP2Y-8877 ,тент 4Y-00-IP2Y-8877 ,1
дырокол WU-56-V301-7957 ,дырокол W7-56-V301-7957 ,0
паяльник DZ-47-1K3G-4238 Криогенный,паяльник DZ-47-1K3G-7238 Криогенный,1
эксперимент 6Z-75-MSS0-0903 ,проточка 6Z-75-MSS0-0903 ,1
лагерь TF-46-EFV8-2735 Исследовательский,лагерь YN-64-3R5J-3691 Исследовательский,0
проточка NF-77-YPHU-9219 ,проточка NF-77-YPH3-9219 ,0
программатор 7G-85-0LHJ-1873 Безопасностный,программатор 7G-85-0LHJ-1873 ,1
бита Y7-05-4N2I-4772 ,бита FA-38-HJHI-7708 ,0
клепка PG-59-2S1U-2594 ,клепка 9G-59-2S1U-2594 ,0
оврископ 7F-83-GADF-2231 Металлургический,спарка 7F-83-GADF-2231 Оптический,1
гирокомпас CT-29-K5ZU-3564 Электрический,вал CT-25-K5ZU-3564 Электрический,0
дырокол RJ-43-KBBB-1409 Радиолокационный,лагерь RJ-43-KBBB-1409 ,1
клещи QQ-92-4KGY-2517 Архитектурный,градусник QQ-92-4KGY-2517 Архитектурный,1
аргон O6-85-CWLM-6843 ,аргон OZ-25-HAKU-4408 ,0
катушка HC-05-CZ7Q-2625 Технический,катушка SE-02-XDEA-3441 Технический,0
антенна 1R-81-F6T3-9594 Ядерный,антенна EH-21-AJ7Y-6887 Ядерный,0
двутавр FY-22-CDXE-8103 Лазерный,двутавр FY-22-CDXE-8103 Конструктивный,1
рычаг 3M-35-CCQ1-8373 ,рычаг ZY-38-GPUF-3998 ,0
анализатор SY-89-5EHM-7884 Электрический,спарка SY-89-5EHM-7884 ,1
тара 3A-37-UCQN-5477 ,тара R4-91-XJ8W-6710 ,0
отвертка 53-33-B99R-6122 Кибернетический,опробование 53-33-B99R-6122 ,1
электросверло 9S-90-87WR-1214 Гальванический,программатор 9S-90-87WR-1214 Радиотехнический,1
станция ZK-62-7QA3-8974 Безопасностный,шкала ZK-62-7QA3-8974 ,1
пила JB-62-UENY-2422 Биотехнологический,пила 2L-85-KZSK-1024 Биотехнологический,0
аргон 1B-90-3JAU-1039 ,аргон 65-81-O6ZG-6606 ,0
последовательность FZ-47-DR0R-1487 Генетический,каталогизация FZ-47-DR0R-1487 ,1
моделирование 0V-91-CXE7-4295 Энергетический,моделирование 0V-91-CXE754295 ,0
трапеция HL-97-TMMC-7160 Кибернетический,рулетка HL-97-TMMC-7160 Акустический,1
компрессор OL-50-MBHF-9374 Полупроводниковый,рычаг OL-50-MBHF-9374 ,1
энтузиазм UD-33-WW6X-0521 ,энтузиазм ME-61-FVHZ-9406 ,0
вал 3S-90-7XK7-7249 ,вал 3S-90-7XK7-7229 ,0
энтузиазм 4I-32-CX6Z-6983 Компьютерный,крестовина 4I-32-CX6Z-6983 Компьютерный,1
уровень VD-46-VSIQ-4176 ,щетка VD-46-VSIQ-4176 ,1
шпатель CZ-94-D4ZE-1480 Телекоммуникационный,шпатель CZ-94-D44E-1480 Телекоммуникационный,0
пассатижи 4O-22-902S-9778 Газодинамический,настой 4O-22-902S-9778 ,1
плоскогубцы 52-44-PMZ2-1491 ,плоскогубцы WE-25-IIFH-3991 ,0
расчет AA-89-SHGK-7782 ,расчет S3-42-L9DD-7318 ,0
эксперимент QK-71-M1GY-1797 ,эксперимент 4X-56-49XL-7911 ,0
лагерь YY-39-MJR8-3325 Энергетический,оврископ YY-39-MJR8-3325 ,1
опробование ZC-80-WD1A-0255 Энергетический,катушка ZC-80-WD1A-0255 ,1
водоснабжение J3-28-JM2U-1767 Силовой,водоснабжение L7-83-KY9Q-5652 Силовой,0
настой WW-72-OPAI-5859 ,настой WM-41-28D9-7042 ,0
такометр MF-02-7Y1O-6985 Проектировочный,стамеска MF-02-7Y1O-6985 ,1
тиски KF-64-V68N-5090 ,холодильник KF-64-V68N-5090 ,1
реостат 3K-04-MNA0-9112 Расчетный,реостат 38-04-MNA0-9112 Расчетный,0
темномер I4-77-PT0B-5938 Радиотехнический,темномер 44-77-PT0B-5938 Радиотехнический,1
шуруповерт BQ-91-K076-2580 ,шуруповерт YE-72-E4TN-6882 ,0
опробование GT-74-AN9D-4256 Кибернетический,холодильник GT-74-AN9D-4256 Кибернетический,1
паяльник FG-79-65YS-3010 ,паяльник FG-79-65YS-3510 ,0
станция US-09-TBUK-4169 Экологический,крестовина US-09-TBUK-4169 ,1
циркуль 57-39-LB89-3313 Кинематический,циркуль 0I-26-8L1L-1104 Кинематический,0
энтузиазм TL-14-69XC-9375 Микробиологический,амортизация TL-14-69XC-9375 ,1
клещи 3L-36-ES62-3503 ,фонарь 3L-36-ES62-3503 ,1
расчет 2C-22-TGJG-5448 Силовой,холодильник 2C-22-TGJG-5448 Силовой,1
гидростатика CN-60-OA30-5022 Эргономический,последовательность CN-60-OA30-5022 ,1
сварка GX-23-PTWV-4615 Химический,градусник GX-23-PTWV-4615 ,1
цанга ID-41-KAH1-4724 Ядерный,клещ ID-41-KAH1-4724 ,1
нож LE-46-HYV7-7998 ,нож 5E-18-139L-8456 ,0
субкультура Y1-12-4QLI-1962 Металлургический,субкультура Y1-12-4QLI-1362 Металлургический,1
двутавр 8W-65-SSAB-7586 ,двутавр IO-82-0ZRC-6005 ,0
каталогизация 3U-05-RH6N-2276 Фотографический,каталогизация 3U-05-RH6N-2276 Пневматический,1
циркуль Z3-02-ZJ0A-7052 Термический,паяльник Z3-02-ZJ0A-7052 ,1
сварка IV-61-CJBZ-4397 Компьютерный,сварка IV-61-CJBZ-0397 Компьютерный,1
датчик JE-61-BJIX-3445 Проектировочный,датчик JE-61-BJIX-3445 Проектировочный,1
рельс 4E-68-VI5E-5410 ,рельс 4K-17-8ETA-6064 ,0
стамеска Q3-47-SMO4-6587 ,стамеска FX-18-DM04-2149 ,0
рычаг 90-50-DS61-0476 Кинематический,рычаг 90-50-DS66-0476 Кинематический,0
вихрь M9-04-5DL5-0228 Аэродинамический,двутавр M9-04-5DL5-0228 Аэродинамический,1
крюки JZ-37-NMVW-9196 Эргономический,крюки JZ-37-NMVW-9196 ,1
пассатижи LV-99-V1KV-1671 Фотографический,пассатижи MS-59-8VTU-5630 Фотографический,0
лагерь A5-72-UMJU-2223 Экологический,уровень A5-72-UMJU-2223 ,1
шкала GM-90-ILG1-8683 ,шкала GM-90-7LG1-8683 ,0
аргон VA-66-217Y-4034 ,аргон VA-16-217Y-4034 ,0
клещ TE-57-OLW7-0795 Силовой,клещ TE-57-OLW7-0795 ,1
идеализация Q1-73-BMEQ-9217 ,идеализация Q1-73-B1EQ-9217 ,1
шпатель L6-19-L9BE-0050 Фотографический,шпатель ZN-66-WZGP-2369 Фотографический,0
тиски A0-71-AQDA-9535 Радиолокационный,каталогизация A0-71-AQDA-9535 ,1
нож A0-79-CZUX-5678 ,нож A0-79-CZUX55678 ,0
оврископ FU-59-VWS2-4007 ,оврископ XC-64-PPZR-8279 ,0
плоскогубцы C8-18-O3BA-5971 ,клещ C8-18-O3BA-5971 ,0
шпатель R6-51-WL0J-6651 Радиочастотный,шпатель R6-51-WL5J-6651 Радиочастотный,0
гвоздодер RM-62-TGEK-2732 ,гвоздодер ON-48-EI8Z-9700 ,0
крестовина YU-54-E8Z8-0600 ,крестовина YU-54-E8Z830600 ,0
рулетка P3-89-EFC4-8258 Компьютерный,пассатижи P3-89-EFC4-8258 ,1
циркуль QN-14-QYDB-9450 Проектировочный,циркуль QN-34-QYDB-9450 ,0
аттестация M5-29-Y3IW-4802 Силовой,лента M5-29-Y3IW-4802 Силовой,1
структурирование BQ-22-DCMS-9564 Микробиологический,структурирование 37-89-318Z-3681 Микробиологический,0
ключ 2C-89-M3OJ-7138 Эргономический,водоснабжение 2C-89-M3OJ-7138 ,1
фильтр 42-24-VDA0-7934 ,фильтр 42-24-3DA0-7934 ,0
тисочки CR-38-OAQU-3478 Управляющий,фильтр CR-38-OAQU-3478 Регулирующий,1
пульсометр ZP-51-L4SM-7077 Металлургический,холодильник ZP-51-L4SM-7077 ,1
жесткость 7J-28-KI44-0858 Эргономический,игла 7J-28-KI44-0858 Компьютерный,1
амортизация K4-17-KT2G-7748 Гальванический,нож K4-17-KT2G-7748 Тепловой,1
каталогизация I5-65-XAXC-2249 ,катушка I9-65-XAXC-2249 ,0
сварка PX-56-7NLC-6899 Гравитационный,щетка PX-56-7NLC-6899 ,1
олово VC-54-1LI8-5317 Криогенный,тент VC-54-1LI8-5317 ,1
игла XV-32-AOLY-3277 ,игла 8W-92-IX06-0220 ,0
гидростатика 9V-97-EVZH-7942 Акустический,гидростатика EH-44-416Q-7188 Акустический,0
детектор GM-71-T3WW-3370 ,детектор GM-717T3WW-3370 ,0
нож 67-89-1VA0-3555 Кибернетический,нож G7-33-4RIV-3276 Кибернетический,0
ключ H7-66-2K4M-7843 Силовой,ключ H7-66-2K42-7843 Силовой,0
тренога RF-08-YYOW-2681 Робототехнический,пилка RF-08-YYOW-2681 ,1
олово B9-10-HR3D-2738 Металлургический,олово P3-39-8WDR-2150 Металлургический,0
детектор 8K-39-TURU-0954 Автоматический,тиски 8K-39-TURU-0954 ,1
жесткость 13-58-ERWI-0083 Эргономический,кисточка 13-58-ERWI-0083 Эргономический,1
идеализация E6-26-V7BA-7363 ,идеализация QY-56-CZ5P-7175 ,0
паяльник UM-44-K7W8-3091 Фотографический,паяльник UM-440K7W8-3091 Фотографический,0
паяльник 6B-16-U3B1-7487 Ядерный,оврископ 6B-16-U3B1-7487 Управляющий,1
гвоздодер M8-54-6VFO-2089 Оптический,градусник M8-54-6VFO-2089 ,1
рычаг GM-10-ORXM-0896 Гидравлический,краскопульт GM-10-ORXM-0896 ,1
гидрамеханика OR-94-BJKC-4779 ,гидрамеханика 1V-89-7S6K-4006 ,0
пилка ND-04-ERO2-2396 Архитектурный,гидростатика ND-04-ERO2-2396 ,1
крестовина LA-67-E60B-5694 Генетический,крестовина LA-67-E60B-5694 Радиолокационный,1
идеализация 54-28-H5MS-5735 ,идеализация 1U-91-GL2W-4447 ,0
двигатель 26-51-J5GC-9729 Энергетический,субкультура 26-51-J5GC-9729 Тепловой,1
электродвигатель IO-60-1JLG-1970 ,тисочки IO-60-1JLG-1970 ,0
клещи S9-94-XJPU-1781 ,клещи S9-54-XJPU-1781 ,0
катушка 97-65-HG97-6597 ,катушка 97-65-2G97-6597 ,0
энтузиазм TO-38-EZR7-7372 Сверхпроводящий,энтузиазм OB-35-CPNX-1169 Сверхпроводящий,0
переименование 2N-13-WVNV-2871 Телекоммуникационный,переименование 2N713-WVNV-2871 Телекоммуникационный,0
олово OW-12-R9ZG-8536 Гальванический,олово FR-46-F9QP-7973 Гальванический,0
станция AV-42-N289-8234 Безопасностный,станция 9H-31-VN9I-7630 Безопасностный,0
электродвигатель B3-22-3957-7073 Радиотехнический,электродвигатель L0-00-QZIX-4757 Радиотехнический,0
тренога IH-99-5CM9-2457 Оптический,аппаратура IH-99-5CM9-2457 ,1
клепка CL-10-6FB1-5155 ,паста CL-10-6FB1-5155 ,1
двигатель S8-15-103B-1796 Радиолокационный,двигатель S8-15-103B-1796 ,1
рулетка YG-31-DJFF-0551 ,рулетка YG831-DJFF-0551 ,0
молоток QB-93-K8NG-9586 Проектировочный,аппаратура QB-93-K8NG-9586 ,1
тренога Y6-17-XYA3-4940 ,тренога Y6-17-XY53-4940 ,0
уровень IE-14-5AUD-1426 ,уровень IE-14-5AU8-1426 ,0
амортизация CJ-14-99EG-6938 ,амортизация CJ-14299EG-6938 ,0
